3.600,3.600,3.600,0.61,3.600,3.600,3.600,0.88,3.600,3.600,3.600,0.14,0.69,1.33,0.74,-1.00
3.600,3.600,0.43,3.600,3.600,3.600,0.75,3.600,3.600,3.600,0.03,3.600,0.92,1.05,-1.45,0.75
3.600,0.17,3.600,3.600,3.600,0.81,3.600,3.600,3.600,-0.25,3.600,3.600,0.42,-1.30,0.44,0.34
0.69,3.600,3.600,3.600,0.92,3.600,3.600,3.600,0.42,3.600,3.600,3.600,-0.58,0.97,0.43,0.68
3.600,3.600,3.600,0.77,3.600,3.600,3.600,1.33,0.17,0.47,-0.52,-1.44,3.600,3.600,3.600,0.65
3.600,3.600,0.79,3.600,3.600,3.600,0.70,3.600,0.81,0.79,-1.84,0.98,3.600,3.600,0.62,3.600
3.600,0.47,3.600,3.600,3.600,0.79,3.600,3.600,-0.25,-2.24,-1.11,-0.59,3.600,0.62,3.600,3.600
1.33,3.600,3.600,3.600,1.05,3.600,3.600,3.600,-1.30,0.62,0.08,0.45,0.97,3.600,3.600,3.600
3.600,3.600,3.600,0.02,0.43,0.79,0.11,-1.28,3.600,3.600,3.600,-0.13,3.600,3.600,3.600,0.71
3.600,3.600,0.11,3.600,0.75,0.70,-2.17,0.40,3.600,3.600,-0.11,3.600,3.600,3.600,-0.47,3.600
3.600,-0.52,3.600,3.600,0.03,-1.84,-0.11,-0.32,3.600,-1.11,3.600,3.600,3.600,0.08,3.600,3.600
0.74,3.600,3.600,3.600,-1.45,0.62,-0.47,-0.12,0.44,3.600,3.600,3.600,0.43,3.600,3.600,3.600
0.61,0.77,0.02,-0.88,3.600,3.600,3.600,0.73,3.600,3.600,3.600,0.07,3.600,3.600,3.600,0.69
0.88,1.33,-1.28,0.73,3.600,3.600,0.40,3.600,3.600,3.600,-0.32,3.600,3.600,3.600,-0.12,3.600
0.14,-1.44,-0.13,0.07,3.600,0.98,3.600,3.600,3.600,-0.59,3.600,3.600,3.600,0.45,3.600,3.600
-1.00,0.65,0.71,0.69,0.75,3.600,3.600,3.600,0.34,3.600,3.600,3.600,0.68,3.600,3.600,3.600
